case,mode,drones,repeat,objective,runtime,valid
C_9_10,C,1,1,19.122183937994286,146.13473796844482,True
C_9_10,C,1,2,18.432422465581286,155.08642601966858,True
C_9_10,C,1,3,19.44906556617463,37.2983820438385,True
C_9_10,C,1,4,19.51455562161651,37.041069984436035,True
C_9_10,C,1,5,18.787548135229002,36.61299419403076,True
RC_9_10,RC,1,1,18.48870391308732,79.9703118801117,True
RC_9_10,RC,1,2,18.05166011721123,101.17426609992981,True
RC_9_10,RC,1,3,18.029709404218575,37.721879959106445,True
RC_9_10,RC,1,4,17.02095373712536,37.31351327896118,True
RC_9_10,RC,1,5,17.596516084442346,34.292595863342285,True
R_9_10,R,1,1,21.931475969225552,194.49196076393127,True
R_9_10,R,1,2,23.92881190506089,48.175654888153076,True
R_9_10,R,1,3,22.265426834676504,38.58152484893799,True
R_9_10,R,1,4,21.472921892464356,173.87823629379272,True
R_9_10,R,1,5,22.373309764478215,154.5514566898346,True
C_9_10,C,2,1,16.609750355829092,68.27852988243103,True
C_9_10,C,2,2,13.95780523506192,92.18228101730347,True
C_9_10,C,2,3,14.521732937716708,115.63404107093811,True
C_9_10,C,2,4,14.52259842571076,96.88821387290955,True
C_9_10,C,2,5,16.377656492940947,85.25950980186462,True
RC_9_10,RC,2,1,14.088197674653777,53.77842307090759,True
RC_9_10,RC,2,2,13.78748584323298,79.23816084861755,True
RC_9_10,RC,2,3,12.903606591796981,60.37849020957947,True
RC_9_10,RC,2,4,13.190698535771668,85.93487811088562,True
RC_9_10,RC,2,5,14.087786458311305,60.41349983215332,True
R_9_10,R,2,1,17.37621724465595,87.79952573776245,True
R_9_10,R,2,2,16.552080216722878,109.04284381866455,True
R_9_10,R,2,3,17.03684586425735,82.34571695327759,True
R_9_10,R,2,4,18.6100295206872,75.64771103858948,True
R_9_10,R,2,5,16.009413690366877,86.35603404045105,True
C_9_10,C,3,1,14.157963174457489,152.06562399864197,True
C_9_10,C,3,2,13.797943323142336,180.8162522315979,True
C_9_10,C,3,3,14.849127684306476,80.5034282207489,True
C_9_10,C,3,4,12.924901756025148,172.6648359298706,True
C_9_10,C,3,5,13.595617203326087,131.77277088165283,True
RC_9_10,RC,3,1,10.59201976979831,199.6779329776764,True
RC_9_10,RC,3,2,13.045604851316588,52.33613705635071,True
RC_9_10,RC,3,3,12.953903659939945,98.6979410648346,True
RC_9_10,RC,3,4,13.0148919696874,98.36178088188171,True
RC_9_10,RC,3,5,13.636175392563125,101.89087390899658,True
R_9_10,R,3,1,16.080978836887578,48.36811923980713,True
R_9_10,R,3,2,16.103874575830197,65.81580901145935,True
R_9_10,R,3,3,17.294651914420292,89.74715328216553,True
R_9_10,R,3,4,16.473831624660455,163.86065411567688,True
R_9_10,R,3,5,16.760360385903653,241.61965584754944,True
C_9_10,C,4,1,12.110205920612986,111.45520901679993,True
C_9_10,C,4,2,11.6610726207198,85.82788610458374,True
C_9_10,C,4,3,12.07490488368329,106.92470502853394,True
C_9_10,C,4,4,12.066031323774672,197.972491979599,True
C_9_10,C,4,5,12.215554137264164,152.62313890457153,True
RC_9_10,RC,4,1,12.160045636512422,121.5141658782959,True
RC_9_10,RC,4,2,10.95574882752392,44.56413793563843,True
RC_9_10,RC,4,3,10.416593789581091,186.49956107139587,True
RC_9_10,RC,4,4,11.956812530594046,166.72855496406555,True
RC_9_10,RC,4,5,11.566590051828497,102.41824197769165,True
R_9_10,R,4,1,15.793130530494063,102.75201296806335,True
R_9_10,R,4,2,16.537719841448286,254.36773300170898,True
R_9_10,R,4,3,17.16355308037722,84.90580296516418,True
R_9_10,R,4,4,15.851953181281075,196.7460527420044,True
R_9_10,R,4,5,16.663605175213036,210.23189616203308,True
C_9_10,C,5,1,9.333746088477167,79.89833426475525,True
C_9_10,C,5,2,12.624872839984137,95.54405522346497,True
C_9_10,C,5,3,10.37928276803702,67.37176322937012,True
C_9_10,C,5,4,11.914020748367497,40.828826904296875,True
C_9_10,C,5,5,12.956037142872662,82.5288290977478,True
RC_9_10,RC,5,1,10.946253545147899,91.28606414794922,True
RC_9_10,RC,5,2,11.568181992948436,106.81638097763062,True
RC_9_10,RC,5,3,11.126422942802499,101.53839898109436,True
RC_9_10,RC,5,4,10.964369192999266,111.71012020111084,True
RC_9_10,RC,5,5,9.785382797365937,72.18273425102234,True
R_9_10,R,5,1,12.291698998277738,108.05948209762573,True
R_9_10,R,5,2,15.858438184346642,56.906124114990234,True
R_9_10,R,5,3,14.477689448328858,82.77824997901917,True
R_9_10,R,5,4,17.824345294223647,178.1531593799591,True
R_9_10,R,5,5,14.87416687621731,102.5923080444336,True
