global_optimal_time,init_time,improvement,iter_num,time_elapsed,global_optimal_time_var,mode,coverage_area_num,operational_node_num
8.278613051,20.38816129,0.593949992,60.8,50.18182707,1.185408782,C,6,10
8.983244367,24.65891607,0.634486775,65.8,87.58620167,0.816350743,C,6,20
8.715251847,29.46879063,0.703651664,52,98.76591525,1.034242674,C,6,30
9.81764141,24.49402401,0.599388515,88.2,138.5200388,0.791952352,C,9,10
9.851501652,31.8356018,0.690156787,73.8,187.4351925,1.676893424,C,9,20
11.59749467,39.27148349,0.704434265,81,351.9084235,2.08078688,C,9,30
14.38775637,27.50179823,0.476790148,65,273.3635493,0.414523053,C,12,10
15.47990855,36.12478088,0.571350764,76.8,448.5001872,0.395904452,C,12,20
17.08470484,44.82845473,0.618866686,94,763.1548288,0.350040819,C,12,30
8.675204071,20.02309971,0.566740205,69.2,56.91260133,1.057589359,RC,6,10
7.969100542,23.53480271,0.660867863,56.6,73.11653528,0.754391362,RC,6,20
8.596329696,27.33261326,0.683039696,60.4,112.1317363,0.419625665,RC,6,30
9.746640393,21.80686309,0.553017459,116.8,245.9846954,0.034155275,RC,9,10
10.06306792,27.55288494,0.635216333,96.8,288.585991,0.977583826,RC,9,20
10.65306704,35.74438272,0.700845816,72.4,269.4343989,0.153026143,RC,9,30
13.56339742,29.84354498,0.54557356,121.4,272.1148396,4.086372935,RC,12,10
15.13763789,38.50123232,0.60681773,142.8,598.4408875,0.400770506,RC,12,20
19.45073425,43.75856022,0.556348509,105.2,655.4669613,7.564956975,RC,12,30
8.034413615,20.89180014,0.615427414,61,58.97630043,0,R,6,10
8.876333946,25.18437002,0.647545921,69,111.3431426,1.119094188,R,6,20
9.37757141,29.44484951,0.681520824,65,267.2024675,1.512768462,R,6,30
11.70789331,28.40389186,0.587806721,112,315.2580714,2.097253465,R,9,10
13.49706861,35.76999717,0.622670683,109.2,482.4567597,0.032425755,R,9,20
14.5708475,43.11497925,0.662046747,85.8,649.7796381,1.15655268,R,9,30
17.73921091,33.39703082,0.468838682,102.2,636.6289742,10.46623808,R,12,10
19.91504915,44.15113996,0.548934656,88,587.0416759,1.999827418,R,12,20
19.48430544,54.68013854,0.643667592,104.2,777.9274754,8.10006556,R,12,30
