global_optimal_time,init_time,improvement,iter_num,time_elapsed,global_optimal_time_var,mode,coverage_area_num,operational_node_num,plan_source
8.278613051067428,20.3881612852301,0.5939499920934633,60.8,50.18182706832886,1.1854087819747583,C,6,10,historical
9.890097964285818,29.227020394614375,0.6616111450721726,64.4,68.66790628433228,0.6399167731471324,C,6,20,re-solved 2026-09-11 (validated SVNS)
8.715251846937134,29.468790628198963,0.7036516639967503,52.0,98.76591525077819,1.0342426741085837,C,6,30,historical
9.817641409610946,24.49402400957295,0.5993885152534517,88.2,138.52003879547118,0.7919523522985236,C,9,10,historical
9.85150165172001,31.835601804488043,0.6901567865396119,73.8,187.43519253730773,1.6768934238169346,C,9,20,historical
11.597494673180288,39.27148349468803,0.7044342650504578,81.0,351.90842351913454,2.0807868804918983,C,9,30,historical
17.771523538778734,31.26123619538364,0.4316179740168674,85.2,239.2961308479309,3.4118082737991835,C,12,10,re-solved 2026-09-11 (validated SVNS)
15.479908548454798,36.12478087665171,0.5713507643282261,76.8,448.5001871585846,0.39590445240326666,C,12,20,historical
17.603503073961114,17.74660414186511,0.008063574685052666,53.6,139.67528648376464,0.04695824405335935,C,12,30,re-solved 2026-09-11 (validated SVNS)
8.67520407055039,20.023099712496723,0.5667402053071703,69.2,56.91260132789612,1.0575893585839111,RC,6,10,historical
7.969100541851556,23.534802708857,0.6608678630167171,56.6,73.116535282135,0.7543913615999978,RC,6,20,historical
8.596329696223902,27.332613260801132,0.6830396962907492,60.4,112.13173627853394,0.41962566451727695,RC,6,30,historical
9.746640392719598,21.80686309309195,0.5530174588475489,116.8,245.9846954345703,0.03415527488622477,RC,9,10,historical
12.45484943035249,32.81054877650529,0.6198031021062841,114.8,241.62570266723634,0.0557421876317032,RC,9,20,re-solved 2026-09-11 (validated SVNS)
10.653067039405446,35.744382719201,0.7008458157373395,72.4,269.43439893722535,0.153026142619762,RC,9,30,historical
18.319138210895694,33.71671062597165,0.45603125573702047,82.2,204.4416142463684,1.4530138846500582,RC,12,10,re-solved 2026-09-11 (validated SVNS)
15.137637893295112,38.501232320721115,0.606817729806204,142.8,598.4408875465393,0.4007705060277879,RC,12,20,historical
16.763794128893778,16.915487413443543,0.008967715847738863,42.0,96.70045022964477,0.0,RC,12,30,re-solved 2026-09-11 (validated SVNS)
8.034413615167958,20.891800141879074,0.6154274135974327,61.0,58.976300430297854,0.0,R,6,10,historical
8.876333945742827,25.18437001593328,0.6475459207386535,69.0,111.34314260482788,1.1190941880195031,R,6,20,historical
9.377571409969628,29.44484951251149,0.6815208240074387,65.0,267.20246748924257,1.512768461680701,R,6,30,historical
11.707893309398735,28.403891861925736,0.5878067214763378,112.0,315.2580713748932,2.0972534650151182,R,9,10,historical
13.497068609124511,35.76999716654663,0.6226706827433734,109.2,482.45675973892213,0.032425755444770464,R,9,20,historical
14.570847497098987,43.11497925295765,0.6620467468716353,85.8,649.7796380519867,1.1565526796196308,R,9,30,historical
17.739210914873983,33.39703081675803,0.4688386817317676,102.2,636.628974199295,10.466238081576615,R,12,10,historical
19.91504914651071,44.15113995626922,0.548934655679646,88.0,587.0416759490967,1.999827417746637,R,12,20,historical
19.484305442956884,54.680138541551344,0.643667591877976,104.2,777.9274754047394,8.100065559977947,R,12,30,historical
