drone_id,sortie_id,route_position,node_id,x,y,arrival_time,departure_time,sortie_duration
1,1,0,3,48.0,58.0,4.13990449856448,4.13990449856448,3.59281531113351
1,1,1,7,76.523091,68.027218,5.14771390570774,5.14771390570774,3.59281531113351
1,1,2,8,76.523091,84.180647,5.686161539041073,5.686161539041073,3.59281531113351
1,1,3,9,78.518667,84.180647,5.7526807390410735,5.7526807390410735,3.59281531113351
1,1,4,10,78.518667,68.027218,6.2911283723744065,6.2911283723744065,3.59281531113351
1,1,5,11,80.514243,68.027218,6.357647572374407,6.357647572374407,3.59281531113351
1,1,6,12,80.514243,84.180647,6.89609520570774,6.89609520570774,3.59281531113351
1,1,7,24,100.0,100.0,7.73271980969799,7.73271980969799,3.59281531113351
1,2,0,0,0.0,0.0,0.05,0.05,3.9899044985644805
1,2,1,23,66.288468,71.094733,3.2901340936120245,3.2901340936120245,3.9899044985644805
1,2,2,3,48.0,58.0,4.03990449856448,4.03990449856448,3.9899044985644805
2,1,0,0,0.0,0.0,0.05,0.05,2.613974818354371
2,1,1,17,13.499028,15.819353,0.7432016591980152,0.7432016591980152,2.613974818354371
2,1,2,18,22.050221,21.128419,1.0787097043335563,1.0787097043335563,2.613974818354371
2,1,3,19,29.065259,28.398698,1.4154715966077482,1.4154715966077482,2.613974818354371
2,1,4,20,35.83109,35.918911,1.7526660223655661,1.7526660223655661,2.613974818354371
2,1,5,21,42.566988,43.466139,2.089865225525274,2.089865225525274,2.613974818354371
2,1,6,22,49.303175,51.013415,2.4270720369747747,2.4270720369747747,2.613974818354371
2,1,7,3,48.0,58.0,2.663974818354371,2.663974818354371,2.613974818354371
2,2,0,3,48.0,58.0,3.9143060449437415,3.9143060449437415,3.525631567436816
2,2,1,13,82.50982,68.027218,5.112208274886627,5.112208274886627,3.525631567436816
2,2,2,14,82.50982,84.180647,5.65065590821996,5.65065590821996,3.525631567436816
2,2,3,16,84.505396,84.180647,5.71717510821996,5.71717510821996,3.525631567436816
2,2,4,15,84.505396,68.027218,6.255622741553293,6.255622741553293,3.525631567436816
2,2,5,24,100.0,100.0,7.439937612380557,7.439937612380557,3.525631567436816
